"Region","Building type","Number of rooms","2006Q1 Price per square meter (EUR/m2)","2006Q2 Price per square meter (EUR/m2)","2006Q3 Price per square meter (EUR/m2)","2006Q4 Price per square meter (EUR/m2)","2007Q1 Price per square meter (EUR/m2)","2007Q2 Price per square meter (EUR/m2)","2007Q3 Price per square meter (EUR/m2)","2007Q4 Price per square meter (EUR/m2)","2008Q1 Price per square meter (EUR/m2)","2008Q2 Price per square meter (EUR/m2)","2008Q3 Price per square meter (EUR/m2)","2008Q4 Price per square meter (EUR/m2)","2009Q1 Price per square meter (EUR/m2)","2009Q2 Price per square meter (EUR/m2)","2009Q3 Price per square meter (EUR/m2)","2009Q4 Price per square meter (EUR/m2)","2010Q1 Price per square meter (EUR/m2)","2010Q2 Price per square meter (EUR/m2)","2010Q3 Price per square meter (EUR/m2)","2010Q4 Price per square meter (EUR/m2)","2011Q1 Price per square meter (EUR/m2)","2011Q2 Price per square meter (EUR/m2)","2011Q3 Price per square meter (EUR/m2)","2011Q4 Price per square meter (EUR/m2)","2012Q1 Price per square meter (EUR/m2)","2012Q2 Price per square meter (EUR/m2)","2012Q3 Price per square meter (EUR/m2)","2012Q4 Price per square meter (EUR/m2)","2013Q1 Price per square meter (EUR/m2)","2013Q2 Price per square meter (EUR/m2)","2013Q3 Price per square meter (EUR/m2)","2013Q4 Price per square meter (EUR/m2)","2014Q1 Price per square meter (EUR/m2)","2014Q2 Price per square meter (EUR/m2)","2014Q3 Price per square meter (EUR/m2)","2014Q4 Price per square meter (EUR/m2)","2015Q1 Price per square meter (EUR/m2)","2015Q2 Price per square meter (EUR/m2)","2015Q3 Price per square meter (EUR/m2)","2015Q4 Price per square meter (EUR/m2)","2016Q1 Price per square meter (EUR/m2)","2016Q2 Price per square meter (EUR/m2)","2016Q3 Price per square meter (EUR/m2)","2016Q4 Price per square meter (EUR/m2)","2017Q1 Price per square meter (EUR/m2)","2017Q2 Price per square meter (EUR/m2)","2017Q3 Price per square meter (EUR/m2)","2017Q4 Price per square meter (EUR/m2)","2018Q1 Price per square meter (EUR/m2)","2018Q2 Price per square meter (EUR/m2)","2018Q3 Price per square meter (EUR/m2)","2018Q4 Price per square meter (EUR/m2)","2019Q1 Price per square meter (EUR/m2)","2019Q2 Price per square meter (EUR/m2)","2019Q3 Price per square meter (EUR/m2)","2019Q4 Price per square meter (EUR/m2)","2020Q1 Price per square meter (EUR/m2)","2020Q2 Price per square meter (EUR/m2)","2020Q3 Price per square meter (EUR/m2)","2020Q4 Price per square meter (EUR/m2)","2021Q1* Price per square meter (EUR/m2)","2021Q2* Price per square meter (EUR/m2)"
"Greater Helsinki","Building types total","Total",2488,2548,2579,2626,2691,2757,2769,2774,2811,2855,2816,2665,2645,2758,2847,2957,3037,3106,3116,3123,3185,3234,3239,3195,3253,3274,3314,3312,3344,3371,3406,3373,3390,3407,3376,3357,3397,3374,3407,3393,3408,3444,3463,3486,3502,3559,3567,3557,3606,3689,3666,3673,3717,3746,3713,3701,3796,3856,3878,3926,4000,4107
"Uusimaa","Building types total","Total",2290,2350,2372,2413,2470,2523,2540,2539,2583,2616,2584,2448,2430,2527,2608,2692,2766,2820,2826,2831,2898,2936,2940,2903,2955,2971,3002,3009,3010,3034,3054,3041,3044,3058,3032,3021,3038,3025,3055,3024,3052,3088,3104,3101,3120,3182,3163,3144,3191,3259,3244,3234,3257,3293,3256,3240,3305,3350,3385,3418,3471,3573
"Helsinki","Building types total","Total",2725,2799,2856,2890,2933,3023,3028,3024,3055,3106,3051,2896,2863,2993,3115,3217,3313,3401,3402,3419,3509,3569,3558,3505,3571,3597,3644,3649,3730,3744,3798,3766,3783,3809,3769,3757,3823,3783,3863,3838,3838,3879,3928,3953,3999,4063,4083,4070,4117,4270,4197,4236,4323,4366,4314,4289,4392,4483,4534,4556,4646,4788
"Helsinki 1","Building types total","Total",4138,4186,4317,4309,4293,4491,4635,4643,4653,4802,4653,4485,4431,4550,4773,4957,5256,5401,5286,5322,5660,5815,5647,5532,5758,5641,5876,5750,5994,5938,6156,6141,5909,6002,6077,5934,6138,6081,6202,6234,6318,6234,6246,6439,6466,6756,6817,6867,6766,7099,7018,7197,7337,7422,7374,7249,7459,7748,7806,7870,8357,8350
"Helsinki 2","Building types total","Total",3107,3233,3291,3413,3405,3555,3496,3467,3542,3671,3564,3307,3359,3528,3689,3803,3857,3961,4037,4023,4179,4228,4191,4183,4281,4376,4415,4438,4512,4560,4608,4568,4668,4709,4649,4645,4726,4728,4785,4828,4775,4859,4965,4947,5095,5125,5236,5154,5298,5519,5435,5400,5482,5577,5649,5659,5826,5871,5986,6055,6092,6312
"Helsinki 3","Building types total","Total",2578,2637,2688,2722,2757,2847,2803,2876,2808,2870,2838,2710,2620,2723,2898,2976,3064,3156,3168,3158,3173,3261,3322,3246,3280,3265,3263,3323,3399,3417,3449,3401,3434,3424,3444,3387,3467,3422,3397,3482,3472,3471,3580,3624,3547,3644,3564,3585,3598,3715,3583,3718,3756,3848,3707,3684,3746,3911,3864,3940,3973,4065
"Helsinki 4","Building types total","Total",2093,2145,2184,2175,2260,2284,2326,2295,2350,2326,2315,2219,2171,2286,2328,2410,2487,2546,2521,2565,2601,2628,2627,2575,2601,2637,2674,2665,2714,2719,2752,2732,2741,2762,2685,2717,2736,2683,2812,2687,2706,2765,2753,2760,2815,2831,2846,2841,2809,2896,2870,2864,2959,2938,2876,2854,2914,2942,3004,2968,3031,3167
"Espoo-Kauniainen","Building types total","Total",2393,2436,2463,2515,2625,2677,2706,2716,2732,2803,2766,2612,2581,2694,2776,2910,2999,3027,3058,3044,3099,3131,3170,3095,3190,3201,3231,3208,3207,3220,3282,3234,3232,3231,3209,3204,3206,3201,3207,3183,3242,3267,3254,3269,3277,3349,3350,3327,3367,3412,3425,3406,3385,3441,3420,3396,3498,3554,3534,3660,3725,3804
"Espoo-Kauniainen 1","Building types total","Total",2732,2795,2822,2882,3020,3054,3043,3070,3142,3206,3168,3068,2924,3013,3186,3362,3358,3565,3597,3565,3645,3696,3637,3643,3806,3754,3889,3878,3746,3785,3817,3675,3866,3850,3883,3825,3696,3876,3836,3756,3898,4039,3943,4007,3875,4003,4027,4156,4037,4089,4197,4128,4181,4256,4256,4207,4409,4315,4342,4558,4596,4773
"Espoo-Kauniainen 2","Building types total","Total",2477,2477,2582,2597,2746,2804,2855,2853,2803,2927,2849,2743,2724,2844,2877,3013,3206,3173,3209,3188,3294,3277,3335,3282,3360,3416,3395,3427,3434,3412,3487,3440,3412,3388,3372,3401,3451,3421,3414,3446,3462,3473,3464,3505,3523,3591,3602,3543,3632,3677,3587,3614,3610,3603,3577,3593,3686,3832,3752,3825,4018,4059
"Espoo-Kauniainen 3","Building types total","Total",2182,2251,2220,2296,2365,2418,2448,2460,2504,2537,2530,2323,2325,2442,2524,2640,2689,2694,2721,2717,2727,2788,2847,2727,2809,2813,2842,2774,2814,2844,2903,2892,2838,2858,2815,2802,2818,2765,2797,2754,2813,2806,2819,2803,2848,2904,2889,2841,2872,2910,2962,2928,2869,2961,2938,2896,2967,3011,3015,3145,3129,3197
"Vantaa","Building types total","Total",1997,2044,2020,2088,2150,2176,2179,2199,2275,2268,2264,2133,2153,2224,2247,2339,2374,2449,2451,2462,2468,2512,2509,2523,2521,2540,2574,2584,2548,2619,2579,2562,2601,2622,2601,2552,2578,2570,2539,2559,2550,2591,2584,2608,2576,2598,2591,2600,2651,2640,2671,2648,2682,2652,2643,2668,2736,2735,2751,2752,2800,2867
"Vantaa 1","Building types total","Total",2299,2327,2275,2416,2517,2512,2477,2507,2639,2622,2593,2464,2533,2550,2569,2684,2750,2848,2821,2848,2855,2935,2929,2911,2921,3037,3041,3051,3052,3055,3038,3052,3000,3159,3069,3088,3083,3161,3061,3058,3044,3102,3110,3153,3133,3198,3151,3211,3130,3258,3270,3245,3327,3252,3276,3297,3295,3379,3428,3360,3440,3567
"Vantaa 2","Building types total","Total",1869,1924,1911,1950,1997,2034,2051,2067,2122,2119,2124,1993,1994,2085,2110,2193,2215,2282,2294,2299,2305,2335,2333,2359,2352,2336,2380,2390,2341,2436,2388,2360,2433,2402,2407,2333,2370,2332,2325,2353,2346,2381,2369,2385,2350,2356,2364,2355,2446,2383,2420,2399,2416,2402,2381,2407,2499,2468,2472,2498,2533,2579
"Satellite municipalities","Building types total","Total",1757,1803,1778,1826,1847,1864,1881,1879,1945,1946,1924,1847,1837,1893,1939,1986,2060,2049,2066,2055,2114,2126,2147,2097,2139,2146,2153,2171,2100,2139,2128,2131,2136,2135,2133,2132,2128,2152,2132,2038,2092,2135,2137,2074,2131,2177,2083,2065,2127,2135,2125,2100,2067,2112,2084,2046,2055,2047,2104,2129,2163,2221
"Porvoo","Building types total","Total",1877,1843,1939,1917,1934,1993,2129,1993,2121,2032,2084,1950,2057,2019,2067,1948,2055,2187,2165,2130,2320,2327,2281,2294,2253,2379,2343,2385,2387,2376,2249,2439,2435,2459,2226,2185,2428,2322,2233,2336,2426,2452,2393,2468,2437,2403,2474,2368,2426,2498,2436,2501,2257,2479,2479,2411,2553,2433,2475,2471,2603,2593
"Hyvink‰‰","Building types total","Total",1651,1617,1646,1691,1731,1732,1743,1755,1770,1740,1742,1692,1686,1747,1734,1748,1818,1759,1807,1825,1948,1927,1926,1889,1927,1907,1968,1934,1704,1982,1962,1941,1975,1944,1976,1891,1931,1970,1925,1914,1891,1879,1938,1940,1959,1974,1833,1828,1844,1876,1827,1860,1864,1942,1802,1783,1888,1751,1899,1903,1951,1891
"J‰rvenp‰‰","Building types total","Total",1928,1935,1987,1962,2072,2068,2053,2082,2074,2082,2035,2080,2003,2024,2100,2190,2207,2289,2297,2306,2341,2285,2332,2333,2367,2386,2329,2383,2393,2350,2335,2393,2350,2415,2276,2355,2388,2481,2393,2394,2339,2328,2345,2290,2320,2474,2357,2278,2384,2417,2389,2396,2431,2487,2330,2399,2354,2366,2472,2417,2324,2618
"Kerava","Building types total","Total",1726,1888,1770,1944,1923,1907,1999,1897,2023,2005,2099,1940,1950,1988,2020,2106,2193,2256,2243,2167,2256,2318,2316,2264,2296,2384,2397,2384,2257,2321,2335,2322,2391,2332,2274,2269,2228,2335,2309,2144,2354,2330,2239,2276,2269,2368,2352,2229,2289,2266,2293,2196,2011,2274,2245,2266,2184,2308,2170,2247,2278,2467
"Varsinais-Suomi","Building types total","Total",1352,1374,1392,1446,1445,1484,1476,1470,1520,1524,1508,1419,1458,1495,1513,1531,1577,1637,1615,1602,1646,1673,1631,1588,1653,1683,1679,1660,1672,1702,1667,1646,1665,1716,1684,1636,1660,1690,1671,1668,1673,1711,1695,1660,1718,1752,1723,1741,1675,1813,1802,1784,1799,1839,1787,1760,1853,1867,1896,1868,1915,1980
"Turku","Building types total","Total",1516,1535,1542,1602,1599,1659,1617,1599,1651,1674,1655,1553,1609,1661,1689,1698,1730,1817,1794,1778,1831,1852,1802,1796,1826,1855,1870,1863,1852,1893,1888,1848,1876,1948,1905,1821,1877,1923,1904,1906,1909,1948,1916,1915,1975,2016,1993,1982,1916,2046,2086,2111,2144,2115,2103,2086,2214,2205,2199,2237,2282,2347
"Turku 1","Building types total","Total",2003,1996,2000,2095,2128,2112,2067,2046,2142,2148,2171,2024,2072,2137,2178,2253,2304,2406,2417,2408,2482,2520,2463,2385,2490,2473,2531,2492,2531,2554,2576,2528,2608,2743,2639,2524,2622,2654,2635,2696,2758,2763,2758,2867,2854,2894,2794,2918,2876,2964,2957,3084,3314,3149,3157,3111,3219,3229,3279,3437,3372,3463
"Turku 2","Building types total","Total",1626,1644,1643,1711,1618,1715,1702,1728,1672,1738,1751,1669,1658,1652,1713,1717,1789,1806,1793,1815,1884,1926,1921,1871,1860,1957,1934,1908,1894,1907,1929,1864,1885,2041,2020,2004,2040,1995,1911,2098,2105,2015,2082,2020,2092,2108,2168,2119,2232,2148,2256,2322,2301,2144,2295,2238,2360,2515,2463,2418,2584,2687
