"Region","Building type","Number of rooms","2006Q1 Price per square meter (EUR/m2)","2006Q2 Price per square meter (EUR/m2)","2006Q3 Price per square meter (EUR/m2)","2006Q4 Price per square meter (EUR/m2)","2007Q1 Price per square meter (EUR/m2)","2007Q2 Price per square meter (EUR/m2)","2007Q3 Price per square meter (EUR/m2)","2007Q4 Price per square meter (EUR/m2)","2008Q1 Price per square meter (EUR/m2)","2008Q2 Price per square meter (EUR/m2)","2008Q3 Price per square meter (EUR/m2)","2008Q4 Price per square meter (EUR/m2)","2009Q1 Price per square meter (EUR/m2)","2009Q2 Price per square meter (EUR/m2)","2009Q3 Price per square meter (EUR/m2)","2009Q4 Price per square meter (EUR/m2)","2010Q1 Price per square meter (EUR/m2)","2010Q2 Price per square meter (EUR/m2)","2010Q3 Price per square meter (EUR/m2)","2010Q4 Price per square meter (EUR/m2)","2011Q1 Price per square meter (EUR/m2)","2011Q2 Price per square meter (EUR/m2)","2011Q3 Price per square meter (EUR/m2)","2011Q4 Price per square meter (EUR/m2)","2012Q1 Price per square meter (EUR/m2)","2012Q2 Price per square meter (EUR/m2)","2012Q3 Price per square meter (EUR/m2)","2012Q4 Price per square meter (EUR/m2)","2013Q1 Price per square meter (EUR/m2)","2013Q2 Price per square meter (EUR/m2)","2013Q3 Price per square meter (EUR/m2)","2013Q4 Price per square meter (EUR/m2)","2014Q1 Price per square meter (EUR/m2)","2014Q2 Price per square meter (EUR/m2)","2014Q3 Price per square meter (EUR/m2)","2014Q4 Price per square meter (EUR/m2)","2015Q1 Price per square meter (EUR/m2)","2015Q2 Price per square meter (EUR/m2)","2015Q3 Price per square meter (EUR/m2)","2015Q4 Price per square meter (EUR/m2)","2016Q1 Price per square meter (EUR/m2)","2016Q2 Price per square meter (EUR/m2)","2016Q3 Price per square meter (EUR/m2)","2016Q4 Price per square meter (EUR/m2)","2017Q1 Price per square meter (EUR/m2)","2017Q2 Price per square meter (EUR/m2)","2017Q3 Price per square meter (EUR/m2)","2017Q4 Price per square meter (EUR/m2)","2018Q1 Price per square meter (EUR/m2)","2018Q2 Price per square meter (EUR/m2)","2018Q3 Price per square meter (EUR/m2)","2018Q4 Price per square meter (EUR/m2)","2019Q1 Price per square meter (EUR/m2)","2019Q2 Price per square meter (EUR/m2)","2019Q3 Price per square meter (EUR/m2)","2019Q4 Price per square meter (EUR/m2)","2020Q1 Price per square meter (EUR/m2)","2020Q2 Price per square meter (EUR/m2)","2020Q3 Price per square meter (EUR/m2)","2020Q4 Price per square meter (EUR/m2)","2021Q1* Price per square meter (EUR/m2)","2021Q2* Price per square meter (EUR/m2)"
"Greater Helsinki","Blocks of flats","Total",2472,2537,2582,2603,2673,2743,2752,2760,2791,2848,2827,2651,2643,2760,2847,2977,3049,3119,3137,3145,3226,3283,3273,3239,3326,3328,3380,3378,3420,3445,3490,3477,3466,3513,3471,3462,3523,3487,3532,3518,3540,3571,3595,3631,3660,3717,3758,3738,3814,3887,3892,3903,3949,3990,3970,3954,4070,4147,4183,4207,4285,4393
"Greater Helsinki","Blocks of flats","One-room flat",3014,3079,3120,3193,3301,3367,3404,3431,3467,3541,3549,3338,3382,3574,3755,3857,3941,3938,4038,4053,4172,4218,4274,4202,4349,4451,4534,4470,4528,4665,4770,4782,4835,4858,4858,4779,4901,4921,4950,4942,4940,5032,4986,5147,5210,5262,5324,5331,5388,5460,5542,5433,5607,5615,5656,5630,5899,5897,6001,5946,6180,6251
"Greater Helsinki","Blocks of flats","Two-room flat",2482,2532,2587,2627,2699,2770,2787,2776,2818,2842,2819,2694,2701,2810,2924,3057,3097,3163,3169,3210,3278,3322,3324,3313,3406,3431,3462,3470,3483,3575,3590,3609,3604,3617,3596,3582,3625,3618,3688,3652,3625,3712,3700,3740,3810,3835,3890,3882,3985,3999,3988,3995,4054,4034,4046,4037,4126,4263,4256,4284,4390,4465
"Greater Helsinki","Blocks of flats","Three-room flat+",2419,2491,2531,2538,2605,2675,2677,2693,2718,2790,2768,2570,2550,2665,2731,2862,2948,3026,3043,3035,3119,3183,3162,3119,3199,3182,3242,3240,3294,3280,3335,3304,3286,3351,3296,3295,3360,3307,3341,3336,3383,3383,3429,3455,3462,3533,3567,3538,3612,3712,3719,3740,3772,3843,3804,3785,3904,3957,4008,4036,4090,4215
"Uusimaa","Blocks of flats","Total",2298,2361,2402,2421,2485,2542,2561,2556,2592,2650,2626,2464,2454,2562,2645,2741,2812,2874,2883,2891,2979,3020,3004,2980,3055,3057,3112,3115,3117,3160,3200,3184,3162,3208,3177,3155,3207,3185,3222,3190,3220,3261,3275,3302,3323,3389,3402,3369,3432,3494,3502,3497,3512,3569,3548,3541,3618,3679,3724,3728,3781,3892
"Uusimaa","Blocks of flats","One-room flat",2808,2871,2905,2962,3062,3122,3164,3189,3220,3286,3288,3112,3137,3315,3479,3550,3627,3626,3734,3719,3841,3877,3914,3872,3983,4069,4139,4083,4130,4276,4359,4318,4348,4394,4393,4314,4429,4445,4472,4429,4490,4543,4507,4620,4697,4713,4759,4751,4808,4873,4933,4844,4959,4989,4998,5012,5215,5234,5257,5237,5441,5540
"Uusimaa","Blocks of flats","Two-room flat",2264,2315,2363,2386,2457,2515,2551,2530,2575,2612,2573,2470,2474,2550,2662,2748,2814,2862,2864,2893,2976,2998,2994,2988,3060,3088,3114,3117,3095,3221,3214,3231,3236,3228,3224,3213,3212,3227,3263,3237,3223,3293,3297,3325,3354,3405,3428,3403,3491,3502,3486,3469,3518,3500,3508,3537,3545,3688,3678,3678,3772,3830
"Uusimaa","Blocks of flats","Three-room flat+",2271,2340,2378,2392,2450,2505,2513,2514,2546,2614,2597,2404,2385,2504,2566,2668,2741,2815,2821,2819,2906,2958,2931,2899,2973,2955,3024,3031,3042,3035,3096,3064,3026,3099,3052,3029,3104,3060,3098,3063,3115,3139,3161,3183,3195,3271,3277,3239,3295,3382,3400,3406,3397,3494,3456,3429,3534,3555,3630,3637,3660,3797
"Helsinki","Blocks of flats","Total",2752,2823,2884,2915,2975,3054,3069,3059,3098,3155,3121,2951,2924,3047,3165,3301,3397,3481,3493,3501,3620,3670,3642,3620,3692,3704,3776,3789,3858,3882,3940,3909,3922,3957,3922,3922,4000,3954,4043,4024,4015,4066,4104,4152,4211,4283,4314,4330,4378,4520,4505,4523,4627,4685,4651,4622,4724,4837,4899,4918,5024,5175
"Helsinki","Blocks of flats","One-room flat",3234,3293,3352,3439,3551,3630,3647,3639,3704,3790,3800,3581,3609,3824,4015,4162,4233,4263,4363,4369,4510,4544,4618,4525,4668,4791,4875,4886,4991,5056,5183,5192,5260,5291,5307,5171,5373,5329,5407,5400,5409,5531,5423,5655,5753,5807,5868,5919,6006,6003,6147,6058,6226,6317,6376,6233,6522,6572,6681,6662,6845,6972
