"Region","Building type","Number of rooms","2006Q1 Price per square meter (EUR/m2)","2006Q2 Price per square meter (EUR/m2)","2006Q3 Price per square meter (EUR/m2)","2006Q4 Price per square meter (EUR/m2)","2007Q1 Price per square meter (EUR/m2)","2007Q2 Price per square meter (EUR/m2)","2007Q3 Price per square meter (EUR/m2)","2007Q4 Price per square meter (EUR/m2)","2008Q1 Price per square meter (EUR/m2)","2008Q2 Price per square meter (EUR/m2)","2008Q3 Price per square meter (EUR/m2)","2008Q4 Price per square meter (EUR/m2)","2009Q1 Price per square meter (EUR/m2)","2009Q2 Price per square meter (EUR/m2)","2009Q3 Price per square meter (EUR/m2)","2009Q4 Price per square meter (EUR/m2)","2010Q1 Price per square meter (EUR/m2)","2010Q2 Price per square meter (EUR/m2)","2010Q3 Price per square meter (EUR/m2)","2010Q4 Price per square meter (EUR/m2)","2011Q1 Price per square meter (EUR/m2)","2011Q2 Price per square meter (EUR/m2)","2011Q3 Price per square meter (EUR/m2)","2011Q4 Price per square meter (EUR/m2)","2012Q1 Price per square meter (EUR/m2)","2012Q2 Price per square meter (EUR/m2)","2012Q3 Price per square meter (EUR/m2)","2012Q4 Price per square meter (EUR/m2)","2013Q1 Price per square meter (EUR/m2)","2013Q2 Price per square meter (EUR/m2)","2013Q3 Price per square meter (EUR/m2)","2013Q4 Price per square meter (EUR/m2)","2014Q1 Price per square meter (EUR/m2)","2014Q2 Price per square meter (EUR/m2)","2014Q3 Price per square meter (EUR/m2)","2014Q4 Price per square meter (EUR/m2)","2015Q1 Price per square meter (EUR/m2)","2015Q2 Price per square meter (EUR/m2)","2015Q3 Price per square meter (EUR/m2)","2015Q4 Price per square meter (EUR/m2)","2016Q1 Price per square meter (EUR/m2)","2016Q2 Price per square meter (EUR/m2)","2016Q3 Price per square meter (EUR/m2)","2016Q4 Price per square meter (EUR/m2)","2017Q1 Price per square meter (EUR/m2)","2017Q2 Price per square meter (EUR/m2)","2017Q3 Price per square meter (EUR/m2)","2017Q4 Price per square meter (EUR/m2)","2018Q1 Price per square meter (EUR/m2)","2018Q2 Price per square meter (EUR/m2)","2018Q3 Price per square meter (EUR/m2)","2018Q4 Price per square meter (EUR/m2)","2019Q1 Price per square meter (EUR/m2)","2019Q2 Price per square meter (EUR/m2)","2019Q3 Price per square meter (EUR/m2)","2019Q4 Price per square meter (EUR/m2)","2020Q1 Price per square meter (EUR/m2)","2020Q2 Price per square meter (EUR/m2)","2020Q3 Price per square meter (EUR/m2)","2020Q4 Price per square meter (EUR/m2)","2021Q1* Price per square meter (EUR/m2)","2021Q2* Price per square meter (EUR/m2)"
"Greater Helsinki","Terraced houses","Total",2516,2568,2573,2668,2724,2781,2799,2800,2847,2868,2795,2690,2649,2754,2848,2921,3016,3084,3079,3085,3113,3149,3179,3118,3128,3180,3200,3198,3213,3244,3260,3195,3258,3227,3215,3178,3183,3181,3195,3182,3184,3230,3240,3241,3238,3295,3251,3257,3284,3383,3318,3320,3360,3372,3323,3315,3381,3416,3419,3499,3567,3672
"Uusimaa","Terraced houses","Total",2278,2333,2330,2402,2447,2497,2511,2516,2570,2569,2524,2424,2395,2478,2555,2623,2701,2745,2744,2746,2785,2820,2851,2797,2817,2851,2850,2862,2863,2862,2856,2846,2880,2855,2835,2837,2810,2809,2830,2801,2825,2856,2873,2832,2850,2907,2849,2845,2889,2965,2922,2908,2938,2951,2896,2871,2922,2948,2971,3036,3088,3181
"Helsinki","Terraced houses","Total",2635,2721,2764,2808,2797,2919,2898,2912,2915,2948,2828,2719,2669,2818,2954,2954,3046,3148,3116,3160,3162,3252,3293,3149,3197,3261,3239,3218,3334,3319,3361,3326,3352,3353,3300,3255,3289,3267,3317,3277,3302,3315,3392,3358,3369,3408,3398,3310,3388,3566,3354,3441,3486,3493,3401,3384,3486,3523,3547,3577,3627,3744
"Helsinki 1","Terraced houses","Total",...,...,..,..,...,..,..,..,...,...,..,..,...,...,...,...,..,..,..,..,..,..,..,..,...,..,..,..,..,..,..,..,..,..,..,..,...,...,...,...,...,...,...,...,...,...,...,...,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Helsinki 2","Terraced houses","Total",3325,...,3444,...,...,3942,4095,...,4013,...,...,...,...,...,...,3837,...,4138,...,...,...,...,...,...,...,4456,...,4663,4306,...,...,...,...,...,...,...,...,4735,...,...,...,4662,...,...,...,4524,...,4325,...,5498,4673,4125,...,...,...,5225,...,4996,5143,...,5067,5209
"Helsinki 3","Terraced houses","Total",2725,2768,2896,2890,2869,3022,2913,3022,2882,2990,2944,2830,2768,2796,3071,3078,3184,3315,3303,3255,3247,3366,3452,3338,3351,3356,3296,3315,3474,3449,3489,3379,3394,3433,3443,3310,3454,3385,3388,3439,3468,3348,3477,3524,3400,3552,3430,3389,3493,3573,3401,3615,3579,3676,3449,3476,3583,3676,3654,3692,3878,3903
"Helsinki 4","Terraced houses","Total",2431,2534,2519,2542,2598,2654,2698,2682,2773,2668,2604,2493,2431,2629,2623,2683,2791,2823,2759,2915,2897,3001,3005,2776,2919,2977,3011,2903,3035,2971,3046,3119,3095,3013,2904,2997,2976,2928,2997,2930,2983,3074,3112,2986,3131,3085,3088,3065,3111,3239,3074,3133,3190,3104,3084,2990,3103,3115,3165,3164,3132,3328
"Espoo-Kauniainen","Terraced houses","Total",2575,2581,2623,2727,2861,2859,2912,2934,2961,2992,2944,2853,2748,2867,2951,3098,3208,3228,3245,3232,3292,3288,3327,3264,3318,3323,3378,3358,3319,3385,3437,3308,3365,3304,3353,3310,3312,3326,3326,3317,3323,3380,3333,3342,3366,3445,3379,3431,3410,3504,3506,3442,3432,3499,3488,3455,3527,3577,3528,3724,3780,3869
"Espoo-Kauniainen 1","Terraced houses","Total",2862,2786,2873,2900,3192,3236,3204,3235,3339,3263,3367,3303,3068,3059,3266,3532,3460,3694,3678,3692,3789,3720,3732,3646,3806,3751,4016,3888,3709,3828,3891,3528,3824,3738,3983,3766,3547,3771,3694,3726,3759,3984,3919,3865,3704,3870,3849,4027,3809,3910,3964,4004,3959,4036,4048,3989,4112,3989,3931,4308,4270,4481
"Espoo-Kauniainen 2","Terraced houses","Total",2613,2567,2706,2738,2912,2908,2988,2954,2925,3080,2934,2892,2780,2952,3005,3134,3343,3274,3312,3273,3369,3373,3397,3374,3412,3461,3435,3476,3458,3450,3503,3468,3470,3404,3394,3425,3495,3459,3442,3461,3462,3480,3410,3469,3556,3601,3532,3490,3605,3675,3591,3509,3558,3611,3600,3583,3637,3817,3682,3796,3969,4018
