Postal code,Building type,2010Q1 Price per square meter (EUR/m2),2010Q2 Price per square meter (EUR/m2),2010Q3 Price per square meter (EUR/m2),2010Q4 Price per square meter (EUR/m2),2011Q1 Price per square meter (EUR/m2),2011Q2 Price per square meter (EUR/m2),2011Q3 Price per square meter (EUR/m2),2011Q4 Price per square meter (EUR/m2),2012Q1 Price per square meter (EUR/m2),2012Q2 Price per square meter (EUR/m2),2012Q3 Price per square meter (EUR/m2),2012Q4 Price per square meter (EUR/m2),2013Q1 Price per square meter (EUR/m2),2013Q2 Price per square meter (EUR/m2),2013Q3 Price per square meter (EUR/m2),2013Q4 Price per square meter (EUR/m2),2014Q1 Price per square meter (EUR/m2),2014Q2 Price per square meter (EUR/m2),2014Q3 Price per square meter (EUR/m2),2014Q4 Price per square meter (EUR/m2),2015Q1 Price per square meter (EUR/m2),2015Q2 Price per square meter (EUR/m2),2015Q3 Price per square meter (EUR/m2),2015Q4 Price per square meter (EUR/m2),2016Q1 Price per square meter (EUR/m2),2016Q2 Price per square meter (EUR/m2),2016Q3 Price per square meter (EUR/m2),2016Q4 Price per square meter (EUR/m2),2017Q1 Price per square meter (EUR/m2),2017Q2 Price per square meter (EUR/m2),2017Q3 Price per square meter (EUR/m2),2017Q4 Price per square meter (EUR/m2),2018Q1 Price per square meter (EUR/m2),2018Q2 Price per square meter (EUR/m2),2018Q3 Price per square meter (EUR/m2),2018Q4 Price per square meter (EUR/m2),2019Q1 Price per square meter (EUR/m2),2019Q2 Price per square meter (EUR/m2),2019Q3 Price per square meter (EUR/m2),2019Q4 Price per square meter (EUR/m2),2020Q1 Price per square meter (EUR/m2),2020Q2 Price per square meter (EUR/m2),2020Q3 Price per square meter (EUR/m2),2020Q4 Price per square meter (EUR/m2),2021Q1* Price per square meter (EUR/m2),2021Q2* Price per square meter (EUR/m2)
00100,"Blocks of flats, one-room flat",5458.0,5347.0,5826.0,5566.0,5545.0,5812.0,5909.0,5856.0,5785.0,6436.0,6265.0,5954.0,6150.0,6584.0,6937.0,6475.0,6552.0,6805.0,7010.0,6552.0,6774.0,6586.0,6568.0,6626.0,6830.0,6788.0,4291.0,7036.0,6871.0,7384.0,7462.0,7494.0,7769.0,7670.0,7962.0,7784.0,7755.0,8332.0,8130.0,8068.0,7802.0,8543.0,9170.0,7517.0,8872.0,8596.0
00100,"Blocks of flats, two-room flat",5164.0,5021.0,5081.0,5006.0,5713.0,5866.0,5552.0,5614.0,6020.0,5814.0,5802.0,5801.0,6031.0,5963.0,6394.0,6073.0,5636.0,5944.0,5985.0,6510.0,6231.0,6066.0,6459.0,6199.0,6137.0,6337.0,5640.0,6087.0,6454.0,6498.0,7248.0,7019.0,6811.0,7043.0,7239.0,7055.0,6914.0,7694.0,6901.0,7435.0,7573.0,7398.0,7868.0,7700.0,7829.0,7974.0
00100,"Blocks of flats, three-room flat+",4944.0,5396.0,4828.0,5394.0,5571.0,5709.0,5450.0,5010.0,5704.0,5466.0,5778.0,5501.0,5424.0,5289.0,5715.0,5701.0,5633.0,5520.0,5877.0,5902.0,5614.0,5520.0,5677.0,5814.0,5980.0,5918.0,5796.0,5881.0,5963.0,6382.0,6582.0,6593.0,6356.0,6838.0,6219.0,6710.0,6883.0,6846.0,7379.0,6728.0,7205.0,6678.0,7178.0,7405.0,8053.0,8174.0
00100,Blocks of flats total,5168.0,5219.0,5181.0,5269.0,5632.0,5807.0,5630.0,5511.0,5843.0,5899.0,5965.0,5766.0,5865.0,5835.0,6351.0,6084.0,5932.0,6021.0,6275.0,6347.0,6124.0,6050.0,6234.0,6138.0,6312.0,6304.0,4905.0,6241.0,6368.0,6595.0,7078.0,6953.0,6852.0,7168.0,7016.0,7115.0,7043.0,7478.0,7476.0,7345.0,7460.0,7275.0,8058.0,7540.0,8188.0,8188.0
00100,Terraced houses total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00100,Building types total,5168.0,5219.0,5181.0,5269.0,5632.0,5807.0,5630.0,5511.0,5843.0,5899.0,5965.0,5766.0,5865.0,5835.0,6351.0,6084.0,5932.0,6021.0,6275.0,6347.0,6124.0,6050.0,6234.0,6138.0,6312.0,6304.0,4905.0,6241.0,6368.0,6595.0,7078.0,6953.0,6852.0,7168.0,7016.0,7115.0,7043.0,7478.0,7476.0,7345.0,7460.0,7275.0,8058.0,7540.0,8188.0,8188.0
00120,"Blocks of flats, one-room flat",5515.0,5646.0,5395.0,5613.0,5905.0,6332.0,,5988.0,5824.0,5890.0,6503.0,6231.0,6626.0,6896.0,6948.0,6061.0,6644.0,6587.0,6490.0,5823.0,6561.0,6756.0,7550.0,6343.0,6267.0,,7354.0,6655.0,,7862.0,8162.0,,8004.0,7953.0,,,8068.0,8707.0,8089.0,7688.0,,8230.0,9132.0,,,
00120,"Blocks of flats, two-room flat",5349.0,5355.0,5534.0,5321.0,5528.0,5523.0,,5045.0,5870.0,6080.0,5652.0,5453.0,5895.0,6343.0,6397.0,6260.0,5850.0,6086.0,5942.0,5886.0,6298.0,6112.0,7062.0,5911.0,6158.0,6482.0,6199.0,6627.0,6827.0,6648.0,6747.0,7357.0,5881.0,7829.0,7694.0,7819.0,7726.0,7732.0,7404.0,7491.0,7331.0,8389.0,7794.0,8121.0,8931.0,8585.0
00120,"Blocks of flats, three-room flat+",6236.0,5713.0,5884.0,5666.0,5691.0,5571.0,5512.0,5317.0,5858.0,5800.0,5984.0,5775.0,6451.0,5963.0,6002.0,6131.0,5420.0,6183.0,6047.0,5354.0,6215.0,6272.0,6371.0,6304.0,6422.0,6290.0,6495.0,7054.0,5899.0,6806.0,6916.0,7624.0,7095.0,6954.0,7514.0,7928.0,7740.0,7443.0,7253.0,7887.0,7607.0,8060.0,8258.0,8146.0,8559.0,8389.0
00120,Blocks of flats total,5618.0,5495.0,5595.0,5521.0,5689.0,5749.0,5518.0,5471.0,5851.0,5957.0,5987.0,5843.0,6265.0,6352.0,6508.0,6169.0,5845.0,6253.0,6174.0,5694.0,6327.0,6323.0,6888.0,6162.0,6239.0,,6476.0,6753.0,,7009.0,7133.0,,7034.0,7509.0,,,7807.0,7780.0,7628.0,7709.0,,8216.0,8393.0,,,
