,postal_code,country_code,place_name,state_name,state_code,county_name,county_code,community_name,community_code,latitude,longitude,accuracy
0,00100,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1714,24.9316,6.0
1,00120,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1632,24.9391,6.0
2,00130,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1645,24.9487,6.0
3,00140,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1578,24.9525,6.0
4,00150,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.157,24.9369,6.0
5,00160,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1671,24.9684,6.0
6,00170,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1728,24.9554,6.0
7,00180,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1634,24.919,6.0
8,00190,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.146,24.9851,6.0
9,00200,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1603,24.8714,6.0
10,00210,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1513,24.8827,6.0
11,00220,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1573,24.9173,6.0
12,00240,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.2015,24.9233,6.0
13,00250,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1873,24.9127,6.0
14,00260,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1794,24.9226,6.0
15,00270,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1942,24.9007,6.0
16,00280,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.2019,24.9043,6.0
17,00290,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1893,24.9064,6.0
18,00300,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.2034,24.8939,6.0
19,00310,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.2106,24.9035,6.0
20,00320,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.2159,24.8961,6.0
21,00330,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1975,24.875,6.0
22,00340,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1819,24.8594,6.0
23,00350,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.2075,24.8705,6.0
24,00360,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.2182,24.8564,6.0
25,00370,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.2263,24.8555,6.0
26,00380,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.2173,24.8722,6.0
27,00390,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.2387,24.8427,6.0
28,00400,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.2265,24.8978,6.0
29,00410,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.2488,24.8578,6.0
30,00420,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.2443,24.88,6.0
31,00430,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.2501,24.8962,6.0
32,00440,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.2313,24.8796,6.0
33,00500,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1873,24.9601,6.0
34,00510,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1918,24.9498,6.0
35,00520,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1983,24.9416,6.0
36,00530,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1826,24.9505,6.0
37,00540,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1841,24.9785,
38,00550,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1957,24.9622,6.0
39,00560,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.21,24.9726,6.0
40,00570,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1838,25.0055,6.0
41,00580,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1921,24.9716,6.0
42,00590,FI,Helsinki                      ,Uusimaa,1.0,Helsinki,11.0,Helsinki,91.0,60.1733,25.0239,6.0
