,"Blocks of flats, one-room flat","Blocks of flats, two-room flat","Blocks of flats, three-room flat+",Blocks of flats total,Terraced houses total,Building types total
2010Q1 Price per square meter (EUR/m2),2748.0,2308.0,2341.0,2420.0,2612.0,2448.0
2010Q2 Price per square meter (EUR/m2),2640.0,2408.0,2418.0,2472.0,2774.0,2535.0
2010Q3 Price per square meter (EUR/m2),2688.0,2379.0,2265.0,2448.0,3033.0,2553.0
2010Q4 Price per square meter (EUR/m2),2643.0,2372.0,2366.0,2438.0,2618.0,2470.0
2011Q1 Price per square meter (EUR/m2),2783.0,2503.0,2445.0,2569.0,3862.0,2683.0
2011Q2 Price per square meter (EUR/m2),2808.0,2393.0,2402.0,2522.0,3282.0,2652.0
2011Q3 Price per square meter (EUR/m2),2807.0,2492.0,2348.0,2540.0,3217.0,2620.0
2011Q4 Price per square meter (EUR/m2),2683.0,2437.0,2340.0,2490.0,2888.0,2553.0
2012Q1 Price per square meter (EUR/m2),2679.0,2451.0,2363.0,2491.0,3172.0,2594.0
2012Q2 Price per square meter (EUR/m2),2668.0,2506.0,2484.0,2545.0,2971.0,2616.0
2012Q3 Price per square meter (EUR/m2),2890.0,2484.0,2551.0,2594.0,2947.0,2648.0
2012Q4 Price per square meter (EUR/m2),2852.0,2625.0,2557.0,2646.0,3181.0,2729.0
2013Q1 Price per square meter (EUR/m2),3057.0,2628.0,2608.0,2718.0,3121.0,2774.0
2013Q2 Price per square meter (EUR/m2),3058.0,2634.0,2540.0,2728.0,3028.0,2774.0
2013Q3 Price per square meter (EUR/m2),2931.0,2609.0,2601.0,2702.0,2877.0,2733.0
2013Q4 Price per square meter (EUR/m2),2927.0,2505.0,2590.0,2640.0,3235.0,2707.0
2014Q1 Price per square meter (EUR/m2),3036.0,2609.0,2621.0,2692.0,3178.0,2784.0
2014Q2 Price per square meter (EUR/m2),3080.0,2871.0,2793.0,2890.0,3286.0,2987.0
2014Q3 Price per square meter (EUR/m2),3018.0,2598.0,2614.0,2718.0,3546.0,2834.0
2014Q4 Price per square meter (EUR/m2),3154.0,2442.0,2568.0,2626.0,3145.0,2724.0
2015Q1 Price per square meter (EUR/m2),3104.0,2724.0,2562.0,2755.0,2978.0,2775.0
2015Q2 Price per square meter (EUR/m2),3064.0,2737.0,2671.0,2760.0,3697.0,2919.0
2015Q3 Price per square meter (EUR/m2),3501.0,2675.0,2523.0,2807.0,3432.0,2942.0
2015Q4 Price per square meter (EUR/m2),3249.0,2796.0,2565.0,2835.0,3196.0,2898.0
2016Q1 Price per square meter (EUR/m2),3621.0,2781.0,2707.0,2927.0,3467.0,3016.0
2016Q2 Price per square meter (EUR/m2),3405.0,2897.0,2807.0,2984.0,3119.0,3012.0
2016Q3 Price per square meter (EUR/m2),3774.0,2865.0,2633.0,3028.0,3627.0,3129.0
2016Q4 Price per square meter (EUR/m2),3842.0,2928.0,2916.0,3072.0,3469.0,3137.0
2017Q1 Price per square meter (EUR/m2),3537.0,2918.0,2827.0,3015.0,3556.0,3130.0
2017Q2 Price per square meter (EUR/m2),3663.0,2971.0,3001.0,3100.0,3193.0,3113.0
2017Q3 Price per square meter (EUR/m2),3743.0,3054.0,2882.0,3173.0,3254.0,3183.0
2017Q4 Price per square meter (EUR/m2),3838.0,3082.0,2897.0,3181.0,3427.0,3227.0
2018Q1 Price per square meter (EUR/m2),3871.0,3164.0,2750.0,3177.0,3619.0,3251.0
2018Q2 Price per square meter (EUR/m2),3737.0,3075.0,2729.0,3131.0,3886.0,3261.0
2018Q3 Price per square meter (EUR/m2),4045.0,3190.0,2804.0,3251.0,3898.0,3334.0
2018Q4 Price per square meter (EUR/m2),3535.0,3201.0,3081.0,3244.0,3768.0,3319.0
2019Q1 Price per square meter (EUR/m2),3849.0,3415.0,3159.0,3435.0,3905.0,3491.0
2019Q2 Price per square meter (EUR/m2),3938.0,3326.0,3157.0,3459.0,4001.0,3545.0
2019Q3 Price per square meter (EUR/m2),3948.0,3351.0,3154.0,3437.0,3665.0,3475.0
2019Q4 Price per square meter (EUR/m2),4081.0,3207.0,3079.0,3481.0,3687.0,3505.0
2020Q1 Price per square meter (EUR/m2),4351.0,3553.0,3180.0,3566.0,3953.0,3610.0
2020Q2 Price per square meter (EUR/m2),4392.0,3370.0,3164.0,3576.0,4261.0,3692.0
2020Q3 Price per square meter (EUR/m2),4346.0,3574.0,3298.0,3653.0,4168.0,3738.0
2020Q4 Price per square meter (EUR/m2),4241.0,3743.0,3504.0,3817.0,3958.0,3840.0
2021Q1* Price per square meter (EUR/m2),4324.0,3604.0,3369.0,3690.0,4008.0,3734.0
2021Q2* Price per square meter (EUR/m2),4284.0,3624.0,3438.0,3752.0,5122.0,3974.0
