Postal code,label6
100,5
120,5
140,5
150,5
160,5
170,5
180,5
200,5
210,5
250,5
260,5
270,5
280,3
310,2
320,5
330,5
350,3
360,2
370,3
390,3
400,3
420,3
440,3
500,5
510,5
520,5
530,5
550,5
560,5
570,3
610,3
630,3
640,2
700,3
710,2
720,3
730,2
740,2
780,2
800,3
810,3
820,3
840,3
900,3
910,3
920,2
940,2
960,3
970,2
980,2
990,3
1200,0
1280,0
1300,3
1350,2
1360,0
1400,3
1450,0
1480,0
1600,2
1610,0
1620,2
1650,0
1700,3
1710,2
1800,0
1900,1
2100,5
2120,3
2170,3
2200,3
2210,3
2230,3
2320,2
2330,3
2360,2
2400,0
2410,1
2600,3
2620,2
2650,3
2700,3
2720,2
2750,3
2760,0
2770,2
3100,0
3400,1
3600,1
4200,0
4230,0
4260,0
4300,0
4400,2
4410,0
4440,0
4600,0
5200,1
5800,0
5810,2
5830,1
5880,1
5900,0
6100,2
6150,0
7900,1
7940,4
8100,0
8700,1
10300,1
10650,4
10900,1
11100,1
11130,1
13100,0
13130,1
13200,0
13210,0
13500,1
14200,4
15100,0
15110,0
15140,0
15150,1
15170,1
15200,1
15210,0
15240,4
15320,4
15500,4
15550,4
15560,4
15700,1
15800,1
15830,1
15860,4
15870,4
15880,4
15950,1
16300,4
16900,4
17200,4
18100,4
18130,4
18150,4
18200,4
20100,3
20200,2
20300,0
20320,0
20360,1
20500,3
20520,3
20540,0
20610,1
20700,2
20720,2
20740,0
20750,1
20780,1
20810,3
20880,0
21100,0
21200,1
21420,1
21530,4
21600,4
23500,4
23800,4
24100,1
24240,1
26100,1
26660,4
27500,4
28100,1
28120,1
28130,1
28190,4
28330,4
28360,4
28370,4
28800,4
30100,4
30300,4
30420,4
32200,4
32700,4
33100,3
33200,3
33210,3
33230,2
33240,0
33250,2
33270,0
33300,1
33310,0
33330,1
33340,1
33400,3
33410,0
33470,4
33500,3
33530,0
33540,3
33560,0
33580,2
33710,0
33720,0
33800,1
33820,0
33870,2
33880,4
33900,2
33960,0
35300,1
35800,4
35820,4
36200,0
37100,1
37500,1
37600,4
37630,4
37800,4
38200,1
39500,4
39700,4
40100,2
40200,0
40320,1
40340,4
40420,4
40520,0
40600,0
40640,1
40700,2
40720,0
40740,1
40800,4
40900,4
42100,4
42700,4
44100,4
44150,4
44200,4
45100,4
45130,4
45150,4
45200,4
45700,4
48100,1
48200,4
48350,4
48600,4
48900,4
49400,4
50100,0
50120,1
50160,4
50170,1
50190,4
53100,0
53300,1
53600,0
53810,1
53850,1
53900,0
53920,4
55100,4
55120,4
55610,4
55800,4
57100,1
57130,1
57170,4
57200,4
60100,0
60150,4
60800,4
62900,4
65100,0
65200,0
65350,1
65370,4
65380,4
67100,0
67800,4
68600,1
68660,4
70100,2
70110,2
70150,1
70200,1
70460,1
70500,1
70600,2
70820,1
73100,4
74100,4
74120,4
76100,4
78200,4
78250,4
80100,0
80110,0
80160,4
80200,1
81700,4
83500,4
84100,1
87100,1
87200,1
88600,4
90100,2
90120,0
90130,0
90140,0
90150,1
90250,1
90400,1
90420,0
90500,0
90520,2
90530,0
90550,1
90560,1
90570,2
90650,1
92100,4
93600,4
94100,4
95400,1
95430,1
96100,1
96200,1
96300,0
96400,1
96440,4
96500,4
