,Postal code,Building type,2020Q1 Price per square meter (EUR/m2),2020Q2 Price per square meter (EUR/m2),2020Q3 Price per square meter (EUR/m2),2020Q4 Price per square meter (EUR/m2),2021Q1* Price per square meter (EUR/m2),2021Q2* Price per square meter (EUR/m2),label6,label8,label10,Location
0,00100,"Blocks of flats, one-room flat",7802.0,8543.0,9170.0,7517.0,8872.0,8596.0,5,5,9,Helsinki Keskusta - Etu-Töölö   (Helsinki )
6,00120,"Blocks of flats, one-room flat",7959.0,8230.0,9132.0,9132.0,9132.0,9132.0,5,5,9,Punavuori   (Helsinki )
18,00140,"Blocks of flats, one-room flat",9509.0,9464.0,9309.0,9154.0,9177.0,9177.0,5,5,9,Kaivopuisto - Ullanlinna   (Helsinki )
24,00150,"Blocks of flats, one-room flat",8663.0,8177.0,9316.0,8790.0,9001.0,9420.0,5,5,9,Eira - Hernesaari   (Helsinki )
30,00160,"Blocks of flats, one-room flat",8151.666666666667,8280.111111111111,8408.555555555555,8537.0,8327.0,8327.0,5,5,9,Katajanokka   (Helsinki )
36,00170,"Blocks of flats, one-room flat",8997.0,8325.0,8656.0,9414.0,7987.0,8593.0,5,5,9,Kruununhaka   (Helsinki )
42,00180,"Blocks of flats, one-room flat",8614.0,8809.0,9004.0,9211.0,9418.0,8684.0,5,5,9,Kamppi - Ruoholahti   (Helsinki )
54,00200,"Blocks of flats, one-room flat",7231.25,7379.5,7527.75,7676.0,7676.0,7676.0,5,5,9,Lauttasaari   (Helsinki )
60,00210,"Blocks of flats, one-room flat",6709.461538461538,6779.307692307692,6849.153846153846,6919.0,5885.0,5885.0,5,5,9,Vattuniemi   (Helsinki )
78,00250,"Blocks of flats, one-room flat",7047.0,7887.0,8026.0,7173.0,7759.0,8472.0,5,5,9,Taka-Töölö   (Helsinki )
84,00260,"Blocks of flats, one-room flat",8184.333333333333,8380.0,8345.0,8310.0,8203.0,8545.0,5,5,9,Keski-Töölö   (Helsinki )
90,00270,"Blocks of flats, one-room flat",8677.0,7743.0,7833.0,7739.0,8013.0,8549.0,5,5,9,Pohjois-Meilahti   (Helsinki )
96,00280,"Blocks of flats, one-room flat",5818.0,5818.0,5818.0,5818.0,5818.0,5818.0,3,3,5,Ruskeasuo   (Helsinki )
114,00310,"Blocks of flats, one-room flat",4117.0,4117.0,4117.0,4117.0,4117.0,4117.0,2,1,1,Kivihaka   (Helsinki )
120,00320,"Blocks of flats, one-room flat",6545.6,6703.2,6860.8,7018.4,7176.0,7176.0,5,5,9,Etelä-Haaga   (Helsinki )
126,00330,"Blocks of flats, one-room flat",7891.333333333334,8068.666666666667,8246.0,7755.5,7265.0,7265.0,5,5,9,Munkkiniemi   (Helsinki )
138,00350,"Blocks of flats, one-room flat",5965.142857142857,6085.857142857143,6206.571428571428,6327.285714285714,6448.0,6133.0,3,3,5,Munkkivuori-Niemenmäki   (Helsinki )
144,00360,"Blocks of flats, one-room flat",3317.0,3317.0,3317.0,3317.0,3317.0,3317.0,2,1,1,Pajamäki   (Helsinki )
150,00370,"Blocks of flats, one-room flat",4545.894736842105,4550.0,4564.0,3933.0,3933.0,3933.0,3,3,3,Reimarla   (Helsinki )
162,00390,"Blocks of flats, one-room flat",4495.8,4513.44,4531.08,4548.72,4566.36,4584.0,3,3,3,Konala   (Helsinki )
168,00400,"Blocks of flats, one-room flat",5876.5,5970.25,6064.0,6096.0,6128.0,6478.0,3,3,5,Pohjois-Haaga   (Helsinki )
180,00420,"Blocks of flats, one-room flat",4687.6,4730.8,4774.0,4653.5,4533.0,4533.0,3,3,3,Kannelmäki   (Helsinki )
192,00440,"Blocks of flats, one-room flat",4869.9,4881.6,4893.3,4905.0,4905.0,4905.0,3,3,3,Lassila   (Helsinki )
198,00500,"Blocks of flats, one-room flat",7350.0,7437.0,7223.0,7034.0,7489.0,7553.0,5,5,9,Sörnäinen   (Helsinki )
