Postal code,label6
100,0
120,0
130,0
140,0
150,0
160,0
170,0
180,0
200,0
210,0
240,1
250,0
260,0
270,0
280,1
310,3
320,1
330,0
340,1
350,1
360,1
370,2
380,1
390,3
400,3
410,2
420,3
440,3
500,1
510,0
520,1
530,0
550,1
560,0
570,1
590,1
600,3
610,1
620,1
630,3
640,3
650,3
700,3
710,2
720,3
730,3
740,2
750,2
770,4
780,3
790,1
800,1
810,1
820,3
840,3
870,2
900,2
910,3
920,2
930,2
940,2
950,3
960,2
970,2
980,3
990,1
1150,3
1200,4
1280,4
1300,3
1350,2
1360,4
1370,3
1450,2
1480,4
1510,3
1520,3
1600,2
1610,3
1620,2
1640,3
1650,4
1700,3
1710,2
1730,2
1800,4
1900,4
2100,1
2110,1
2120,1
2130,1
2160,1
2170,1
2200,1
2210,3
2230,3
2260,2
2320,2
2330,3
2360,2
2400,4
2410,4
2430,4
2600,3
2610,3
2620,2
2650,3
2700,3
2710,2
2720,3
2750,3
2760,2
2770,2
2780,3
2940,3
3100,4
3600,5
4130,2
4200,2
4220,2
4230,2
4250,2
4260,2
4300,2
4320,4
4400,2
4410,2
4430,2
4600,4
5400,2
5800,4
5820,4
5830,2
5880,5
5900,4
6100,2
6150,4
6450,4
7900,4
8100,2
8200,5
8700,4
8800,5
10300,5
10600,2
10650,5
10900,4
11100,4
11120,5
11130,4
12400,5
13100,2
13130,4
13200,2
13210,4
13500,5
13600,5
14200,5
15100,2
15110,2
15140,2
15150,4
15170,5
15200,5
15210,4
15240,5
15500,5
15520,4
15550,5
15700,4
15800,4
15830,5
15860,5
15870,5
15880,5
15950,4
16300,5
17200,5
18100,4
18130,5
20100,3
20200,2
20210,5
20240,5
20300,2
20320,4
20360,4
20460,5
20500,3
20520,3
20540,2
20610,5
20660,2
20700,3
20720,2
20740,4
20750,5
20760,4
20780,4
20810,3
20880,2
21100,2
21110,4
21200,4
21420,2
21500,4
21530,5
21600,4
23500,5
23800,5
24100,4
24240,5
24800,5
26100,4
26200,5
26660,5
28100,2
28120,4
28130,4
28190,5
28330,5
28360,5
28370,5
28400,5
28450,5
29200,5
30100,4
30300,5
30420,5
32200,5
32700,5
33100,3
33180,3
33200,3
33210,3
33230,3
33240,3
33270,2
33300,2
33310,4
33330,4
33340,4
33400,2
33410,4
33470,4
33500,3
33530,3
33540,3
33560,2
33580,2
33710,2
33720,4
33800,2
33820,2
33840,4
33850,5
33870,3
33900,3
33950,2
33960,2
35300,5
35800,5
36200,4
36220,4
36240,4
37100,4
37120,4
37150,5
37200,5
37500,4
37600,5
37630,5
37800,5
38200,4
38710,5
39500,5
40100,2
40200,2
40250,4
40270,4
40320,4
40340,5
40420,5
40520,2
40600,2
40640,5
40700,2
40720,2
40740,4
40800,5
40820,5
41330,5
42100,5
42300,5
42700,5
44100,5
44200,5
45100,4
45150,5
45160,5
45200,5
45700,5
46800,5
48100,4
48350,5
48600,5
49400,5
50100,4
50120,5
50160,5
50170,4
50190,5
53100,2
53200,4
53600,2
53810,5
53850,5
53900,2
53920,5
53950,5
55100,4
55120,5
55510,5
55800,5
57100,4
57130,4
57170,4
57200,5
60100,4
60150,5
60200,2
62100,5
62200,5
65100,2
65200,4
65230,5
65280,4
65320,5
65350,5
65370,5
65610,4
67100,4
67200,4
68600,4
68620,5
68660,5
70100,2
70110,2
70150,4
70200,4
70300,3
70340,4
70420,4
70460,5
70500,5
70600,2
70620,4
70700,4
70820,4
70840,2
71800,4
74100,4
74120,5
76100,5
77600,5
78200,5
78250,5
80100,4
80110,4
80160,5
80200,4
80220,2
81700,5
83500,5
84100,5
87100,4
87200,5
87500,5
89600,5
90100,2
90120,2
90130,2
90140,2
90150,4
90230,2
90240,4
90250,4
90400,2
90420,2
90440,4
90500,4
90510,2
90520,2
90530,2
90540,4
90550,5
90560,5
90570,4
90630,4
90650,4
91900,4
92100,4
93600,4
94100,5
95400,4
96100,2
96200,4
96300,4
96440,5
96500,5
98440,5
