,Postal code,Building type,2020Q1 Price per square meter (EUR/m2),2020Q2 Price per square meter (EUR/m2),2020Q3 Price per square meter (EUR/m2),2020Q4 Price per square meter (EUR/m2),2021Q1* Price per square meter (EUR/m2),2021Q2* Price per square meter (EUR/m2),label6,label8,label10,Location
2,00100,"Blocks of flats, three-room flat+",7205.0,6678.0,7178.0,7405.0,8053.0,8174.0,0,6,6,Helsinki Keskusta - Etu-Töölö   (Helsinki )
8,00120,"Blocks of flats, three-room flat+",7607.0,8060.0,8258.0,8146.0,8559.0,8389.0,0,6,6,Punavuori   (Helsinki )
14,00130,"Blocks of flats, three-room flat+",6101.0,6101.0,6101.0,6101.0,6101.0,6101.0,0,6,6,Kaartinkaupunki   (Helsinki )
20,00140,"Blocks of flats, three-room flat+",8232.0,9291.0,8590.0,9001.0,9646.0,9736.0,0,6,6,Kaivopuisto - Ullanlinna   (Helsinki )
26,00150,"Blocks of flats, three-room flat+",8860.0,8268.5,7677.0,8375.0,10117.0,9355.0,0,6,6,Eira - Hernesaari   (Helsinki )
32,00160,"Blocks of flats, three-room flat+",6875.0,8454.0,7128.0,6858.0,7991.0,6819.0,0,6,6,Katajanokka   (Helsinki )
38,00170,"Blocks of flats, three-room flat+",7039.0,7024.0,7523.0,7343.0,7810.0,7759.0,0,6,6,Kruununhaka   (Helsinki )
44,00180,"Blocks of flats, three-room flat+",6805.0,7944.0,8031.0,8118.0,7738.0,7738.0,0,6,6,Kamppi - Ruoholahti   (Helsinki )
56,00200,"Blocks of flats, three-room flat+",6443.0,6207.0,6259.0,6462.0,6673.0,6805.0,0,6,6,Lauttasaari   (Helsinki )
62,00210,"Blocks of flats, three-room flat+",6497.0,6606.0,6727.0,6883.0,6894.0,7324.0,0,6,6,Vattuniemi   (Helsinki )
74,00240,"Blocks of flats, three-room flat+",5077.666666666667,5134.0,4938.0,4742.0,5166.0,5852.0,1,2,2,Länsi-Pasila   (Helsinki )
80,00250,"Blocks of flats, three-room flat+",6198.0,6459.0,6339.0,6441.0,6895.0,6928.0,0,6,6,Taka-Töölö   (Helsinki )
