,Postal code,Building type,2020Q1 Price per square meter (EUR/m2),2020Q2 Price per square meter (EUR/m2),2020Q3 Price per square meter (EUR/m2),2020Q4 Price per square meter (EUR/m2),2021Q1* Price per square meter (EUR/m2),2021Q2* Price per square meter (EUR/m2),label6,label8,label10,Location
1,00100,"Blocks of flats, two-room flat",7573.0,7398.0,7868.0,7700.0,7829.0,7974.0,4,2,1,Helsinki Keskusta - Etu-Töölö   (Helsinki )
7,00120,"Blocks of flats, two-room flat",7331.0,8389.0,7794.0,8121.0,8931.0,8585.0,4,2,1,Punavuori   (Helsinki )
13,00130,"Blocks of flats, two-room flat",,,,,9610.0,9610.0,4,2,1,Kaartinkaupunki   (Helsinki )
19,00140,"Blocks of flats, two-room flat",8634.0,8106.0,8398.0,8445.0,8530.0,9643.0,4,2,1,Kaivopuisto - Ullanlinna   (Helsinki )
25,00150,"Blocks of flats, two-room flat",7792.0,8107.0,8646.0,8187.0,8320.0,8823.0,4,2,1,Eira - Hernesaari   (Helsinki )
31,00160,"Blocks of flats, two-room flat",7534.666666666667,7739.777777777777,7944.888888888889,8150.0,7955.0,7955.0,4,2,1,Katajanokka   (Helsinki )
37,00170,"Blocks of flats, two-room flat",7812.0,7905.0,7590.0,7945.0,8386.0,7706.0,4,2,1,Kruununhaka   (Helsinki )
43,00180,"Blocks of flats, two-room flat",7302.0,7584.0,7903.0,8194.0,7857.0,8505.0,4,2,1,Kamppi - Ruoholahti   (Helsinki )
55,00200,"Blocks of flats, two-room flat",6261.0,6552.0,6378.0,6762.0,6605.0,7007.0,4,2,1,Lauttasaari   (Helsinki )
61,00210,"Blocks of flats, two-room flat",6836.0,6606.0,6376.0,6637.0,6479.0,6570.0,4,2,1,Vattuniemi   (Helsinki )
73,00240,"Blocks of flats, two-room flat",5010.0,5010.0,5010.0,5010.0,5010.0,5010.0,2,7,9,Länsi-Pasila   (Helsinki )
79,00250,"Blocks of flats, two-room flat",6795.0,7009.0,6971.0,6868.0,7235.0,7180.0,4,2,1,Taka-Töölö   (Helsinki )
85,00260,"Blocks of flats, two-room flat",7258.0,7019.0,7184.5,7350.0,7944.0,7897.0,4,2,1,Keski-Töölö   (Helsinki )
91,00270,"Blocks of flats, two-room flat",6579.0,6856.0,6582.0,6691.0,6842.0,6552.0,4,2,1,Pohjois-Meilahti   (Helsinki )
97,00280,"Blocks of flats, two-room flat",6298.0,6444.5,6591.0,6591.0,6591.0,6591.0,4,2,1,Ruskeasuo   (Helsinki )
109,00300,"Blocks of flats, two-room flat",3844.0,3844.0,3844.0,3844.0,3844.0,3844.0,0,4,2,Pikku Huopalahti   (Helsinki )
121,00320,"Blocks of flats, two-room flat",4695.0,5269.0,5011.0,5638.0,5541.0,5765.0,2,7,9,Etelä-Haaga   (Helsinki )
127,00330,"Blocks of flats, two-room flat",5902.0,6169.0,6289.0,6446.0,6479.0,6479.0,4,2,1,Munkkiniemi   (Helsinki )
139,00350,"Blocks of flats, two-room flat",4587.0,4914.0,4929.0,5322.0,5530.0,5599.0,2,7,9,Munkkivuori-Niemenmäki   (Helsinki )
145,00360,"Blocks of flats, two-room flat",4214.1875,4234.125,4254.0625,4274.0,4528.5,4783.0,2,7,9,Pajamäki   (Helsinki )
151,00370,"Blocks of flats, two-room flat",3284.2,3320.6,3357.0,3287.0,3217.0,3217.0,0,4,2,Reimarla   (Helsinki )
157,00380,"Blocks of flats, two-room flat",5517.6,5583.8,5650.0,4756.0,4756.0,4756.0,2,7,9,Pitäjänmäen teollisuusalue   (Helsinki )
163,00390,"Blocks of flats, two-room flat",3421.0,3550.0,3610.0,3670.0,3775.0,3852.0,0,4,2,Konala   (Helsinki )
169,00400,"Blocks of flats, two-room flat",4401.5,4338.25,4275.0,4297.0,4319.0,4974.0,2,7,9,Pohjois-Haaga   (Helsinki )
175,00410,"Blocks of flats, two-room flat",3349.0,3172.0,3240.5,3309.0,3483.0,3268.0,0,4,2,Malminkartano   (Helsinki )
181,00420,"Blocks of flats, two-room flat",3457.0,3499.5,3542.0,3538.3333333333335,3534.6666666666665,3531.0,0,4,2,Kannelmäki   (Helsinki )
193,00440,"Blocks of flats, two-room flat",3753.0,3807.0,3861.0,3876.0,4053.0,4181.0,0,4,2,Lassila   (Helsinki )
199,00500,"Blocks of flats, two-room flat",6194.0,6262.5,6331.0,6300.0,6567.0,6567.0,4,2,1,Sörnäinen   (Helsinki )
205,00510,"Blocks of flats, two-room flat",6062.0,6290.0,6243.0,6227.0,6569.0,6931.0,4,2,1,Etu-Vallila - Alppila   (Helsinki )
211,00520,"Blocks of flats, two-room flat",5251.0,5832.0,5776.0,5720.0,6504.0,6312.0,2,7,9,Itä-Pasila   (Helsinki )
217,00530,"Blocks of flats, two-room flat",5928.0,6547.0,6515.0,6392.0,6360.0,6706.0,4,2,1,Kallio   (Helsinki )
229,00550,"Blocks of flats, two-room flat",5910.0,6015.0,5848.0,5971.0,5774.0,6268.0,2,7,9,Vallila   (Helsinki )
235,00560,"Blocks of flats, two-room flat",5233.0,5320.0,5407.0,5834.0,6312.0,6297.0,2,7,9,Toukola-Vanhakaupunki   (Helsinki )
241,00570,"Blocks of flats, two-room flat",5420.0,5423.0,6300.0,6096.0,5892.0,5892.0,2,7,9,Kulosaari   (Helsinki )
259,00600,"Blocks of flats, two-room flat",2684.0,2684.0,2684.0,2684.0,2684.0,2684.0,5,6,6,Koskela-Helsinki   (Helsinki )
265,00610,"Blocks of flats, two-room flat",5573.0,5639.0,5835.0,5774.0,5390.0,6466.0,2,7,9,Käpylä   (Helsinki )
271,00620,"Blocks of flats, two-room flat",4096.8,4162.4,4228.0,4431.0,4634.0,4634.0,2,7,9,Metsälä-Etelä-Oulunkylä   (Helsinki )
277,00630,"Blocks of flats, two-room flat",3636.0,4217.0,4306.0,4290.0,3864.0,4250.0,0,4,2,Maunula-Suursuo   (Helsinki )
283,00640,"Blocks of flats, two-room flat",3546.3333333333335,3618.6666666666665,3691.0,3713.0,3713.0,3713.0,0,4,2,Oulunkylä-Patola   (Helsinki )
319,00700,"Blocks of flats, two-room flat",3454.0,3163.0,3409.0,3528.0,3398.0,3273.0,0,4,2,Malmi   (Helsinki )
325,00710,"Blocks of flats, two-room flat",2825.0,2901.0,2956.0,2700.0,2655.0,3013.0,0,4,2,Pihlajamäki   (Helsinki )
331,00720,"Blocks of flats, two-room flat",3262.5,3314.0,3206.5,3099.0,3457.0,3726.0,0,4,2,Pukinmäki-Savela   (Helsinki )
337,00730,"Blocks of flats, two-room flat",3353.0,3330.0,3307.0,3284.0,3284.0,3284.0,0,4,2,Tapanila   (Helsinki )
343,00740,"Blocks of flats, two-room flat",2352.0,2352.0,2352.0,2352.0,2352.0,2352.0,5,6,6,Siltamäki   (Helsinki )
349,00750,"Blocks of flats, two-room flat",2678.0,2678.0,2678.0,2678.0,2678.0,2678.0,5,6,6,Puistola   (Helsinki )
361,00770,"Blocks of flats, two-room flat",2549.0,2412.0,2275.0,2138.0,2001.0,2042.0,5,0,5,Jakomäki - Alppikylä   (Helsinki )
367,00780,"Blocks of flats, two-room flat",3281.5,3284.0,3286.5,3289.0,3291.5,3294.0,0,4,2,Tapaninvainio   (Helsinki )
373,00790,"Blocks of flats, two-room flat",5129.0,3982.0,4335.0,4688.0,5041.0,5054.0,2,7,9,Viikki   (Helsinki )
379,00800,"Blocks of flats, two-room flat",5218.0,4704.0,5300.0,5151.0,5221.0,5524.0,2,7,9,Länsi-Herttoniemi   (Helsinki )
385,00810,"Blocks of flats, two-room flat",5373.0,5097.0,6017.0,5918.0,5615.0,5396.0,2,7,9,Herttoniemi   (Helsinki )
391,00820,"Blocks of flats, two-room flat",3710.0,3842.5,3975.0,4107.5,4240.0,4240.0,0,4,2,Roihuvuori   (Helsinki )
403,00840,"Blocks of flats, two-room flat",3354.5,3363.0,3428.5,3494.0,4085.0,4011.0,0,4,2,Laajasalo   (Helsinki )
427,00900,"Blocks of flats, two-room flat",3700.3333333333335,3720.0,3209.0,3209.0,3209.0,3209.0,0,4,2,Puotinharju   (Helsinki )
433,00910,"Blocks of flats, two-room flat",3471.0,3594.0,3717.0,3638.0,3712.0,3797.0,0,4,2,Puotila   (Helsinki )
439,00920,"Blocks of flats, two-room flat",3114.0,3174.0,3174.0,3174.0,3174.0,3174.0,0,4,2,Myllypuro   (Helsinki )
445,00930,"Blocks of flats, two-room flat",3218.8333333333335,3233.0,3034.0,2835.0,2866.0,2897.0,0,4,2,Itäkeskus-Marjaniemi   (Helsinki )
451,00940,"Blocks of flats, two-room flat",2502.0,2510.25,2518.5,2526.75,2535.0,2749.0,5,6,6,Kontula - Vesala   (Helsinki )
457,00950,"Blocks of flats, two-room flat",3054.0,3054.0,3054.0,3054.0,3054.0,3054.0,0,4,2,Vartioharju   (Helsinki )
463,00960,"Blocks of flats, two-room flat",3204.0,2893.0,3081.0,3031.0,3133.0,3130.0,0,4,2,Pohjois-Vuosaari   (Helsinki )
469,00970,"Blocks of flats, two-room flat",2473.0,2353.0,2389.0,2387.0,2675.0,2569.0,5,6,6,Mellunmäki   (Helsinki )
475,00980,"Blocks of flats, two-room flat",3268.0,3368.6666666666665,3469.3333333333335,3570.0,3623.0,3623.0,0,4,2,Etelä-Vuosaari   (Helsinki )
481,00990,"Blocks of flats, two-room flat",4968.0,5064.0,5160.0,5049.0,5071.0,5294.0,2,7,9,Aurinkolahti   (Helsinki )
493,01150,"Blocks of flats, two-room flat",,,,,,2938.0,0,4,2,Söderkulla   (Sipoo )
499,01200,"Blocks of flats, two-room flat",2058.0,2162.0,2266.0,2228.0,2190.0,2152.0,5,0,5,Hakunila   (Vantaa )
505,01230,"Blocks of flats, two-room flat",2604.0,2604.0,2604.0,2604.0,2604.0,2604.0,5,6,6,Vaarala   (Vantaa )
517,01280,"Blocks of flats, two-room flat",2264.714285714286,2278.0,2403.0,2367.5,2332.0,2332.0,5,6,6,Länsimäki   (Vantaa )
523,01300,"Blocks of flats, two-room flat",3548.0,3954.0,3601.0,3981.0,3752.0,3713.0,0,4,2,Tikkurila   (Vantaa )
535,01350,"Blocks of flats, two-room flat",3133.0,3017.5,2902.0,3211.0,3228.0,2992.0,0,4,2,Hiekkaharju   (Vantaa )
541,01360,"Blocks of flats, two-room flat",1920.0,1981.0,1845.0,1821.0,1868.0,2025.0,5,0,8,Koivukylä-Havukoski   (Vantaa )
547,01370,"Blocks of flats, two-room flat",3443.0,3503.0,3563.0,3563.0,3563.0,3563.0,0,4,2,Jokiniemi   (Vantaa )
577,01450,"Blocks of flats, two-room flat",2531.0,2357.0,2183.0,2409.0,2635.0,2635.0,5,6,6,Korso   (Vantaa )
583,01480,"Blocks of flats, two-room flat",1831.0,1831.0,1831.0,1831.0,1831.0,1831.0,5,0,8,Mikkola   (Vantaa )
595,01510,"Blocks of flats, two-room flat",3881.0,4354.0,4466.0,4205.0,4376.0,4547.0,2,7,9,Kirkonkylä-Veromäki   (Vantaa )
601,01520,"Blocks of flats, two-room flat",4181.0,4247.0,4313.0,4379.0,4445.0,4445.0,2,7,9,Tammisto   (Vantaa )
613,01600,"Blocks of flats, two-room flat",2653.0,2756.0,2593.0,2785.0,2732.0,2986.0,5,6,6,Myyrmäki   (Vantaa )
619,01610,"Blocks of flats, two-room flat",2962.0,3241.0,3520.0,3273.0,3379.0,3206.0,0,4,2,Kaivoksela   (Vantaa )
625,01620,"Blocks of flats, two-room flat",2776.0,2762.0,2748.0,2734.0,2720.0,2706.0,5,6,6,Martinlaakso   (Vantaa )
637,01640,"Blocks of flats, two-room flat",3448.0,3448.0,3448.0,3448.0,3448.0,3448.0,0,4,2,Hämevaara   (Vantaa )
643,01650,"Blocks of flats, two-room flat",1821.0,1772.0,1723.0,2220.0,1965.5,1711.0,5,0,8,Vapaala   (Vantaa )
673,01700,"Blocks of flats, two-room flat",4231.0,4318.5,4406.0,4691.0,4549.0,4362.0,2,7,9,Kivistö   (Vantaa )
679,01710,"Blocks of flats, two-room flat",2497.0,2564.0,2734.0,2748.0,2679.0,2679.0,5,6,6,Pähkinärinne   (Vantaa )
691,01730,"Blocks of flats, two-room flat",2238.0,2238.0,2238.0,2238.0,2238.0,2238.0,5,0,5,Vantaanpuisto   (Vantaa )
709,01800,"Blocks of flats, two-room flat",1894.0,2041.0,2271.0,2501.0,2551.0,1996.0,5,0,5,Klaukkala Keskus   (Nurmijärvi )
739,01900,"Blocks of flats, two-room flat",1853.0,1597.0,1669.5,1742.0,1795.0,1848.0,1,1,0,Nurmijärvi Keskus   (Nurmijärvi )
751,02100,"Blocks of flats, two-room flat",5988.0,5915.5,5843.0,6083.5,6324.0,5803.0,2,7,9,Tapiola   (Espoo )
757,02110,"Blocks of flats, two-room flat",5216.857142857143,5224.142857142857,5231.428571428572,5238.714285714285,5246.0,5981.0,2,7,9,Otsolahti   (Espoo )
763,02120,"Blocks of flats, two-room flat",4665.333333333333,4950.666666666667,5236.0,5370.0,5504.0,5566.0,2,7,9,Länsikorkee-Suvikumpu   (Espoo )
769,02130,"Blocks of flats, two-room flat",4433.2,4484.6,4536.0,4536.0,4536.0,4536.0,2,7,9,Pohjois-Tapiola   (Espoo )
793,02170,"Blocks of flats, two-room flat",4639.0,4639.0,4639.0,4639.0,4639.0,4639.0,2,7,9,Haukilahti   (Espoo )
805,02200,"Blocks of flats, two-room flat",4789.0,5105.0,5421.0,5737.0,5535.0,5535.0,2,7,9,Niittykumpu   (Espoo )
811,02210,"Blocks of flats, two-room flat",3420.3333333333335,3559.0,3261.0,3262.0,3195.0,3195.0,0,4,2,Olari   (Espoo )
817,02230,"Blocks of flats, two-room flat",3935.5,4072.0,4292.0,4360.0,4428.0,4310.0,2,7,9,Matinkylä   (Espoo )
835,02260,"Blocks of flats, two-room flat",2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,5,6,6,Kaitaa   (Espoo )
859,02320,"Blocks of flats, two-room flat",3062.0,3563.0,3013.0,3372.0,3491.0,3387.0,0,4,2,Espoonlahti   (Espoo )
865,02330,"Blocks of flats, two-room flat",4381.0,4416.0,4451.0,4486.0,4521.0,4380.0,2,7,9,Saunalahti-Kattilalaakso   (Espoo )
877,02360,"Blocks of flats, two-room flat",3015.0,3143.0,3271.0,3399.0,3399.0,3399.0,0,4,2,Soukka   (Espoo )
895,02400,"Blocks of flats, two-room flat",2305.0,2476.0,2267.0,2423.5,2580.0,2580.0,5,6,6,Kirkkonummi Keskus   (Kirkkonummi )
901,02410,"Blocks of flats, two-room flat",1309.8823529411766,1291.5882352941176,1273.2941176470588,1255.0,1255.0,1255.0,1,5,3,Gesterby   (Kirkkonummi )
931,02460,"Blocks of flats, two-room flat",1748.0,1748.0,1748.0,1748.0,1748.0,1748.0,1,1,0,Kantvik   (Kirkkonummi )
985,02600,"Blocks of flats, two-room flat",4297.0,4371.666666666667,4446.333333333333,4521.0,4192.0,4955.0,2,7,9,Etelä-Leppävaara   (Espoo )
