,ds
0,2010-01-01
1,2010-04-01
2,2010-07-01
3,2010-10-01
4,2011-01-01
5,2011-04-01
6,2011-07-01
7,2011-10-01
8,2012-01-01
9,2012-04-01
10,2012-07-01
11,2012-10-01
12,2013-01-01
13,2013-04-01
14,2013-07-01
15,2013-10-01
16,2014-01-01
17,2014-04-01
18,2014-07-01
19,2014-10-01
20,2015-01-01
21,2015-04-01
22,2015-07-01
23,2015-10-01
24,2016-01-01
25,2016-04-01
26,2016-07-01
27,2016-10-01
28,2017-01-01
29,2017-04-01
30,2017-07-01
31,2017-10-01
32,2018-01-01
33,2018-04-01
34,2018-07-01
35,2018-10-01
36,2019-01-01
37,2019-04-01
38,2019-07-01
39,2019-10-01
40,2020-01-01
41,2020-04-01
42,2020-07-01
43,2020-10-01
44,2021-01-01
45,2021-04-01
