,K,Median RMSE,Median MAE
0,2.0,73.62594987955667,58.5013167872587
1,3.0,54.84716927765252,45.38126385583985
2,4.0,89.08476651236249,72.81724736185134
3,5.0,71.08703795606827,54.00559855228869
4,6.0,65.63934555187093,53.28717766256213
5,7.0,60.1916531476736,52.56875677283557
6,8.0,69.94907541082068,51.97816893443306
7,9.0,79.70649767396777,52.56875677283557
8,10.0,70.23010940152835,50.726514985004
9,11.0,69.37366025401968,50.48391950428504
10,12.0,75.65168916486238,53.6660111585017
11,13.0,69.37366025401968,56.8845034101447
12,14.0,79.34419868615817,64.19643029492079
13,15.0,69.9360711518427,62.48116924166277
14,16.0,66.9616309591895,53.19152070104266
15,17.0,69.37366025401968,57.19810790071131
16,18.0,69.98731160572103,57.759982997649615
17,19.0,70.09284668111287,55.643442833926656
18,20.0,71.92249835338077,56.018639442518264
19,21.0,73.76772608430508,63.22492258119206
20,22.0,71.33091082473518,56.250547464662986
21,23.0,70.92828279970134,57.660853598883364
22,24.0,72.340216412675,57.72830773541983
23,25.0,73.75215002564867,57.7957618719563
24,26.0,72.92623089719427,60.41249697413531
25,27.0,94.43322864722882,74.73491837032032
26,28.0,96.0025214829474,82.47230607946398
27,29.0,82.21743286878379,69.37747721934915
28,30.0,84.99277715035643,76.51313007260941
29,31.0,81.43617235559773,59.93132053235763
30,32.0,87.72383765940357,70.93006364916931
31,33.0,89.96732111591716,72.72899915921107
32,34.0,76.11127019080212,63.49049949200034
33,35.0,76.1331319318984,63.835431368217826
34,36.0,78.26045195573649,66.48327975367269
35,37.0,80.43149546176716,69.13112813912755
36,38.0,85.07861917349088,78.06876288115086
37,39.0,93.35956901240954,84.22355302935955
38,40.0,99.86644120278712,86.09672451284726
39,41.0,106.37331339316471,85.44949191916885
40,42.0,102.7361208328812,84.33369375000683
41,43.0,107.410115764909,85.44949191916885
42,44.0,108.59546245809466,87.69804362049703
43,45.0,109.78080915128032,89.94659532182521
44,46.0,121.75675743814197,99.8254310863949
45,47.0,133.73270572500363,109.70426685096459
46,48.0,121.25762238351652,104.29817234257933
47,49.0,133.73270572500363,112.92481737285658
48,50.0,127.93366829352534,111.31454211191058
49,51.0,133.73270572500363,111.41929624189493
50,52.0,129.21067168130423,110.56178154642976
51,53.0,133.73270572500363,111.41929624189493
52,54.0,115.07824912157383,106.35865593746584
53,55.0,87.7966652801877,72.18682268679407
54,56.0,101.07248245774286,85.81222489438039
55,57.0,105.53352056868255,87.24855525974658
56,58.0,101.97092222962044,89.42660493667972
57,59.0,99.8435502594122,87.13410080254948
58,60.0,142.90092240860383,108.5905802329035
59,61.0,148.9071203275687,123.22442049166398
60,62.0,150.06066442811886,125.17761446416353
61,63.0,139.173812221813,113.34836854152843
62,64.0,138.16982623043452,108.25708698084401
63,65.0,147.41811055359494,117.83328946112783
64,66.0,136.14695255767316,108.25708698084401
65,67.0,147.94853828694008,122.36150858703519
66,68.0,149.48937695017895,123.5167928759796
67,69.0,115.49002894413186,101.65627072409734
68,70.0,147.07078684049068,121.8812780507086
69,71.0,150.34274932220626,122.63280566403597
70,72.0,141.69104633396776,122.14205795666498
71,73.0,141.36103404446516,119.86307511213363
72,74.0,156.80833208105034,130.3006515600007
73,75.0,153.79720066078815,127.13080843666307
74,76.0,155.75000717708673,130.3006515600007
75,77.0,137.16584023905605,113.23848603300326
76,78.0,159.2838013023583,130.13484911524853
77,79.0,151.21420852866902,127.13080843666307
78,80.0,134.64709790790573,108.70222079067167
79,81.0,139.173812221813,113.81152183633253
80,82.0,157.3309947860597,129.30271471227144
81,83.0,148.74178848413257,125.00275059516252
82,84.0,146.32829982761183,120.90109864653834
83,85.0,148.6360045781516,119.90277731529613
84,86.0,152.50570459472857,128.78651179433788
85,87.0,148.6360045781516,122.13218767684816
86,88.0,145.8332578728053,122.45276395522933
87,89.0,151.21420852866902,130.2962960040702
88,90.0,151.92008369166967,126.0667795159128
89,91.0,148.04987896750757,122.63280566403597
90,92.0,145.92435166314135,119.68223500761647
91,93.0,151.21420852866902,130.10668516733983
92,94.0,155.75000717708673,132.93803278536814
93,95.0,160.8647889113313,134.06900399521987
94,96.0,151.0568173846574,126.99990553828718
95,97.0,151.24191882428366,125.00275059516252
96,98.0,149.48937695017895,129.4284100594129
97,99.0,153.79720066078815,132.40557088739797
98,100.0,159.2838013023583,135.62442238664795
99,101.0,148.04987896750757,130.2230780589175
100,102.0,153.52465114827265,132.93803278536814
101,103.0,160.8647889113313,132.77040422568905
102,104.0,164.63224038440654,133.7697493392791
103,105.0,148.74178848413257,125.00275059516252
104,106.0,157.3309947860597,129.01026653307528
105,107.0,148.6360045781516,125.00275059516252
106,108.0,149.1982623947039,130.20149058570502
107,109.0,165.73941985069268,138.75252184745068
108,110.0,155.75000717708673,135.48986379286976
109,111.0,188.52554205186266,144.31025542149087
110,112.0,176.12756006352865,141.7562142711285
111,113.0,191.60545995364015,144.31025542149087
112,114.0,155.75000717708673,133.7697493392791
113,115.0,164.96332796844402,138.75252184745068
114,116.0,168.0453303492283,137.7858268341363
115,117.0,157.7028136933853,134.06900399521987
116,118.0,155.75000717708673,128.73611234543955
117,119.0,157.7028136933853,132.62255739926638
118,120.0,193.4423474874801,150.75520913796367
119,121.0,164.96332796844402,137.05779789582698
120,122.0,163.51722711238463,133.7697493392791
121,123.0,174.62266146647988,145.87397541434814
122,124.0,167.57026809654212,133.7697493392791
123,125.0,195.27923502132006,176.32793066386353
124,126.0,192.11036748438352,163.44633198669035
125,127.0,174.27574728175293,143.90318834850655
126,128.0,174.4492043741164,141.7562142711285
127,129.0,179.55351997508563,145.65040901026453
128,130.0,195.684934610339,170.27853356571532
129,131.0,157.7028136933853,134.06900399521987
130,132.0,199.78834040081503,175.74022952066602
131,133.0,191.60545995364015,157.20016285443648
132,134.0,176.3010171558921,144.1067218849987
133,135.0,202.24169368165806,176.32793066386353
134,136.0,176.91463362841927,153.04463752744303
135,137.0,192.61527501512688,169.69250111894422
136,138.0,184.0687782970742,162.4175283329378
137,139.0,179.55351997508563,151.7226786952043
138,140.0,194.12161404255056,167.84376414195614
139,141.0,195.27923502132006,162.60394235511512
140,142.0,192.11036748438352,159.9020526047758
141,143.0,184.9043525297014,144.31025542149087
142,144.0,192.16627983169843,167.38968521515264
143,145.0,179.55351997508563,145.65040901026453
144,146.0,176.96495611823354,152.80453470543324
145,147.0,202.24169368165806,175.96555436009987
